id,name,label
9114,"Grapefruit, raw, pink and red, Florida",1
11134,"Cassava, raw",1
326,"Lingonberry, raw",1
11044,"Beef, dairy fattened steer, sirloin, without subcutaneous fat, raw ",0
5151,"Guinea hen, meat and skin, raw",0
6224,"Garlic, scape, raw",1
23117,"Beef, chuck, under blade steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised",0
14281,"Beverages, tea, black, ready to drink, decaffeinated",1
12127,"Nuts, ginkgo nuts, raw",1
9163,"Blueberries, dried, sweetened",1
23655,"Beef, flank, steak, separable lean only, trimmed to 0"" fat, select, cooked, broiled",0
01_0017,"Rice, BRRI Dhan-30, parboiled, milled, raw",1
11701,"Arrowhead, cooked, boiled, drained, with salt",1
5059,"Chicken, broilers or fryers, breast, meat and skin, cooked, fried, flour",0
plant-based-164,vegan,1
13970,"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, all grades, raw",0
11366,"Potatoes, boiled, cooked in skin, skin, without salt",1
15083,"Cake and pastry, thick pancake",1
436,"Beef, brisket, anterior part, raw",0
35,"Cocoa, powder",1
8130,"Cereals, QUAKER, Instant Oatmeal, maple and brown sugar, dry",1
31028,"Potatoes, yellow fleshed, hash brown, shredded, salt added in processing, frozen, unprepared",1
7162,"Citrus, ""Kawachi-bankan"", juice sacs, raw",1
13866,"Beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, select, raw",0
11590,"Waterchestnuts, chinese, canned, solids and liquids",1
9025,"Apricots, canned, extra light syrup pack, with skin, solids and liquids",1
419,"Beef, topside ""cap off"", raw",0
23559,"Beef, ground, 95% lean meat / 5% fat, patty, cooked, pan-broiled",0
10899,"Pork, cured, ham, slice, bone-in, separable lean only, heated, pan-broil",0
17028,"Lamb, domestic, loin, separable lean only, trimmed to 1/4"" fat, choice, cooked, roasted",0
7020,"Corned beef loaf, jellied",0
10290,"Mollusks, Japanese baking scallop, cultured, raw",0
13328,"Beef, variety meats and by-products, lungs, raw",0
11959,"Arugula, raw",1
15157,"Mollusks, clam, mixed species, raw",0
1166,"Cheese, mexican, queso asadero",0
17066,"Lamb, New Zealand, imported, frozen, composite of trimmed retail cuts, separable fat, raw",0
1555,"Juice, mixed vegetables, pasteurized",1
15133,"Cake and pastry, tart",1
5689,"Chicken, dark meat, drumstick, meat and skin, enhanced, cooked, roasted",0
2065,"Spearmint, fresh",1
132,"Chicken, flesh and skin, raw",0
1154,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",0
11888,"Tomato products, canned, puree, with salt added",1
16073,"Lima beans, large, mature seeds, canned",1
10055,"Pork, fresh, loin, sirloin (roasts), bone-in, separable lean and fat, cooked, roasted",0
11903,"Corn, sweet, white, canned, whole kernel, regular pack, solids and liquids",1
5055,"Chicken, broilers or fryers, back, meat only, cooked, roasted",0
