product_name,product_type
ASDA Extra Special 2 Salmon Fishcakes with Melting Hollandaise Centre,MEAT
ASDA Boneless Salmon Side Flavoursome,MEAT
ASDA Flavoursome Salmon Fillets,MEAT
ASDA Tender Chicken Breast Fillets,MEAT
ASDA Tender Half Lamb Leg,MEAT
ASDA Tender Chicken Breast Fillets,MEAT
ASDA Tasty Cheese & Bacon Chicken Breast Fillets 350g,MEAT
ASDA Extra Special 2 Smoked Haddock Fishcakes with Vintage Cheddar & Leek,MEAT
ASDA Flavoursome Lean Smoked Diced Bacon,MEAT
ASDA Delicious Lean Unsmoked Bacon Pieces Twin Pack,MEAT
ASDA Tasty Minted Lamb Leg Steaks,MEAT
Shazans Chicken Mini Fillets,MEAT
Shazans Diced Chicken Breast,MEAT
Shazans Halal Small Chicken,MEAT
ASDA Tender Lamb Leg (Typically 2.15kg),MEAT
ASDA Flavourful Chicken Crown with Sage & Onion Gravy,MEAT
Shazans Medium Chicken,MEAT
ASDA Fragrant Tikka Chicken Breast Steaks,MEAT
ASDA Smoky Hunter's Chicken Breast Fillets,MEAT
ASDA Spicy Cajun Chicken Breast Steaks,MEAT
ASDA British Chicken Breaded Goujons,MEAT
Beef Dinner Bundle,MEAT
ASDA Succulent Medium Chicken,MEAT
ASDA Tender British Pork Ribs,MEAT
Shazans Halal Chicken Breast Fillets,MEAT
Shazans Peri Peri Baby Chicken,MEAT
Shazans Chicken Breast Fillets,MEAT
ASDA Savoury Extra Tasty Chicken Breast Steaks,MEAT
ASDA Sticky Teriyaki Chicken Mini Breast Fillets,MEAT
ASDA Tender 4 Lamb Chops,MEAT
ASDA 2 Garlic & Herb Chicken Kievs,MEAT
Gressingham Whole Duck,MEAT
ASDA Fruity Mango & Coconut Chicken Breast Mini Fillets,MEAT
ASDA Extra Large Chicken (Typically 2.25kg),MEAT
ASDA Tender Diced Chicken Breast,MEAT
ASDA Tender Chicken Breast Fillets,MEAT
ASDA Organic Free Range Whole Chicken (Typically 1.65kg),MEAT
ASDA Tender Diced Chicken Breast,MEAT
Shazans Extra Tasty Whole Chicken,MEAT
ASDA Extra Special Fish Pie Fishcake with Melting Cheddar Centre 290g,MEAT
ASDA Savoury Salt & Pepper Large Chicken,MEAT
ASDA Tender Beef Roasting Joint (Typically 1.8kg),MEAT
ASDA Sticky Japanese Style Pork Stir-Fry Kit,MEAT
ASDA British Chicken Southern Fried Goujons,MEAT
ASDA Organic Free Range Chicken Breast Fillets (Typically 425g),MEAT
"ASDA Extra Special Pork Cutlets with Sea Salt, Black Pepper & Garlic Crust",MEAT
ASDA Extra Special Whole Free Range Corn Fed Chicken (Typically 1.75kg),MEAT
ASDA Tender Chicken Stir-Fry Strips,MEAT
ASDA Tender Chicken Breast Fillets,MEAT
Shazans Peri Peri Diced Chicken Breast,MEAT
ASDA Tender 4 Pork Loin Steaks,MEAT
ASDA Flavourful Reduced Fat Beef Steak Mince (Typically Less Than 12% Fat),MEAT
ASDA Extra Special Free Range Corn-Fed Norfolk Chicken Breast Fillets (Typically 350g),MEAT
ASDA Diced Pancetta,MEAT
ASDA Asda Tender Chicken Breast Mini Fillets,MEAT
ASDA Extra Special 2 Smoked Haddock Fishcakes with Melting Cheddar Centre,MEAT
Lamb Dinner Bundle,MEAT
ASDA Extra Special 2 Wild Garlic British Chicken Kievs,MEAT
ASDA Extra Special Fish & Chips Bundle,MEAT
ASDA Diced Smoked Pancetta,MEAT
ASDA Ibuprofen 200mg Caplets 16 Pack,MEAT
ASDA Semi Skimmed Milk,DAIRY
ASDA 8 Pork Loin Steaks,MEAT
ASDA Honey Gammon Joint,MEAT
ASDA Lean 6 Pork Loin Medallions,MEAT
ASDA Extra Special Dry Cured Gammon Joint,MEAT
ASDA Succulent Extra Tasty Large Chicken in a bag,MEAT
"ASDA Classic Pork, Sage and Onion Stuffed Large Chicken",MEAT
ASDA Extra Special Yorkshire Bred Pork Loin Crackling Joint Boneless Rind-On,MEAT
ASDA Extra Special Yorkshire Bred Triple Pepper Pork Loin Joint,MEAT
ASDA Butcher's Selection Unsmoked Gammon Joint,MEAT
Dicksons Pork Sausage Meat,MEAT
ASDA Hearty Fish Pie Mix,MEAT
ASDA Extra Special Goose Fat 220g,MEAT
ASDA Extra Special British Pork Sausage Meat 400g,MEAT
Quorn 2 Peppered Steaks,MEAT
ASDA Seasoned Pork Sausage Meat,MEAT
ASDA Succulent Extra Tasty Small Whole Chicken in a bag,MEAT
JUST ESSENTIALS by ASDA 4 Breaded Fish Fillets 600g,MEAT
ASDA Succulent Large Chicken,MEAT
ASDA Extra Special Yorkshire Bred Pepper & Thyme Pork Loin Medallions 400g,MEAT
Wicks Manor Olde English Sausage Meat,MEAT
ASDA Delicate 2 Smoked Basa Fillets,MEAT
ASDA Extra Special Ultimate Yorkshire Bred Crackling Pork Loin Joint (Typically 1.365kg),MEAT
Sokolow Best Selection Poultry & Pork Sausages,MEAT
ASDA Mediterranean Pork Loin Steaks,MEAT
JUST ESSENTIALS by ASDA Whole Chicken (Typically 1.5kg),MEAT
ASDA Warming Cajun Loaded Chicken Mini Fillets,MEAT
Young's Salmon Fillets,MEAT
JUST ESSENTIALS by ASDA Chicken Breast Fillet Portions (Typically 1.05kg),MEAT
ASDA Tender Lean Diced Beef,MEAT
ASDA Delicious Unsmoked Gammon Joint,MEAT
ASDA Flavoursome Half Salmon Side,MEAT
ASDA Delicious 2 Unsmoked Gammon Steaks,MEAT
JUST ESSENTIALS by ASDA Salmon Portions,MEAT
ASDA Flavoursome Smoked Gammon Joint,MEAT
ASDA Butcher's Selection Unsmoked Gammon Joint,MEAT
ASDA Butcher's Selection Smoked Gammon Joint,MEAT
ASDA Flavoursome 2 Smoked Gammon Steaks,MEAT
ASDA Smoky Fajita Chicken Stir-Fry Kit,MEAT
ASDA Flavoursome 2 Salmon Fillets,MEAT
ASDA 10 Unsmoked Back Bacon Rashers Stock Up Bundle,MEAT
ASDA Sticky Chinese Style Chicken Stir-Fry Kit,MEAT
Better Naked Bacon 6 Unsmoked Back Bacon Rashers,MEAT
ASDA Extra Special Dry Cured Gammon Steaks Unsmoked,MEAT
ASDA Sticky Sweet Chilli Chicken Stir-Fry Kit,MEAT
ASDA Delicious 2 Unsmoked Gammon Steaks ,MEAT
Young's Red Thai Infused Salmon Boneless Fillets 220g,MEAT
ASDA Rich Black Bean Chicken Stir-Fry Kit,MEAT
Plant Based by ASDA 10 Meat-Free Bacon Style Rashers,MEAT_ALTERNATIVE
MOWI Superior Scottish Salmon Fillets,MEAT
MOWI Superior Scottish Smoked Salmon,MEAT
ASDA Extra Special Oak Smoked Dry Cured Gammon Steaks,MEAT
ASDA Lean Pork Mince Stock Up Bundle,MEAT
ASDA Extra Special Scottish Salmon Gravadlax,MEAT
ASDA Extra Special Lamb Chump Joint (Typically 370g),MEAT
ASDA Tender 2 Sweet Chilli Salmon Fillets,MEAT
Shazans Halal Chicken Breast Fillets Stock up Bundle,MEAT
ASDA Extra Special 2 Lightly Smoked Scottish Salmon Fillets,MEAT
ASDA 24 Delicious Unsmoked Back Bacon Rashers  ,MEAT
ASDA 24 Flavoursome Smoked Back Bacon Rashers,MEAT
ASDA Extra Special 8 Unsmoked British Bacon Wiltshire Cured,MEAT
